EGP_ID;SuperCategory;SubCategory;Level;Type;Guideword;Can-do statement;Example
1;ADJECTIVES;combining;A1;FORM;FORM: COMBINING TWO ADJECTIVES WITH 'AND';Can use 'and' to join a limited range of common adjectives. ;"The teachers are very nice and friendly . (A1 BREAKTHROUGH; 2007; Polish; Pass)

I like my house because it is big and comfortable . (A1 BREAKTHROUGH; 2007; Polish; Pass)

You can buy Turkish and English products as well. (A1 BREAKTHROUGH; Polish)"
2;ADJECTIVES;modifying;A1;FORM;FORM: WITH 'VERY' ;Can use 'very' with a limited range of common gradable adjectives. ;"I like Croydon because it's very quiet and very nice. (A1 BREAKTHROUGH; Farsi)

My neighbours are very friendly. (A1; Slovak)"
3;ADJECTIVES;position;A1;FORM;FORM: ATTRIBUTIVE (WITH NOUNS);Can use a limited range of adjectives attributively, before a noun. ► noun phrases;"We have a big garden and a small swimming pool. (Arabic - Other, A1 BREAKTHROUGH, Pass, 2009)

My name is Bogdan. I am your new neighbour. (Polish, A1 BREAKTHROUGH, Pass, 2008)

I like my home because I have a nice park next to my house. (Farsi, A1 BREAKTHROUGH, Pass, 2009)"
4;ADJECTIVES;position;A1;FORM;FORM: PREDICATIVE, WITH 'BE';Can use a limited range of adjectives predicatively, after 'be'.;"I like my home because my bedroom is big. (Turkish, A1 BREAKTHROUGH, Pass, 2009)

This place is lovely. (Polish, A1 BREAKTHROUGH, Pass, 2007)

My kitchen is nice. (Farsi, A1 BREAKTHROUGH, Pass, 2009)

This place is beautiful. (Tagalog, A1 BREAKTHROUGH, Pass, 2007)"
5;ADJECTIVES;superlatives;A1;FORM;FORM: 'MY BEST FRIEND';Can use the irregular superlative adjective 'best' in the phrase 'my best friend'.;"She's my best friend. (A1 BREAKTHROUGH; 2006; Polish; Pass)

Shahin is my best friend. (A1 BREAKTHROUGH; 2006; Urdu; Pass)"
11;ADVERBS;adverbs and adverb phrases: types and meanings;A1;FORM;FORM: 'VERY' + ADJECTIVES;Can use 'very' to modify common gradable adjectives.;"My home is very nice. (A1 BREAKTHROUGH; 2009; Italian; Pass)

My teacher is very good. (A1 BREAKTHROUGH; 2007; Gujarati; Pass)"
12;ADVERBS;adverbs and adverb phrases: types and meanings;A1;FORM;FORM: 'VERY' + TIME ADVERBS ;Can use 'very' to modify time adverbs. ► adverb phrases;"I hope you get well very soon. (A1 BREAKTHROUGH; 2009; Bengali; Pass)

I don't like it at college when I have a lesson very early. (A1 BREAKTHROUGH; 2007; Polish; Pass)"
13;ADVERBS;adverbs and adverb phrases: types and meanings;A1;FORM;FORM: DEGREE and TIME, MODIFYING VERBS;Can use degree and time adverbs to modify verbs.;"I really like Japanese music. (A1 BREAKTHROUGH; 2008; Chinese; Pass)

I like my college very much. (A1 BREAKTHROUGH; 2007; Polish; Fail)

I always go to the park with my children. We sometimes go to the shopping centre. (A1 BREAKTHROUGH; 2010; Arabic - Other; Pass)"
14;ADVERBS;adverbs and adverb phrases: types and meanings;A1;FORM;FORM: PLACE, COMPLEMENT;Can use place adverbs ('here', 'there') as complements of verbs. ;"I am happy here because people are very nice. (A1 BREAKTHROUGH; 2007; Hindi; Pass)

I hope you will be there. (A1 BREAKTHROUGH; 2011; Portuguese; Pass)

You must go there. (A1 BREAKTHROUGH; 2008; Polish; Pass)"
15;ADVERBS;position;A1;FORM;FORM: DEGREE, BEFORE ADJECTIVES;Can use a limited range of degree adverbs before an adjective.;"My home is very light and very comfortable. (A1 BREAKTHROUGH; 2009; Polish; Pass)

I have a really good friend, her name is Dylma. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
16;ADVERBS;position;A1;FORM;FORM: FREQUENCY, MID POSITION;Can use frequency adverbs in the usual mid position, between the subject and the main verb.;"In my free time I always listen to music, watch TV, clean my room ... (Spain; A1 BREAKTHROUGH; 2010; Spanish - European; Pass)

She sometimes goes to the cinema and to the disco. (A1 BREAKTHROUGH; 2006; Polish; Pass)"
17;ADVERBS;position;A1;FORM;FORM: FRONT POSITION;Can use a limited range of adverbs in front position.;"Sometimes I go to the beach. (A1 BREAKTHROUGH; 2011; Arabic - Other; Pass)

I like writing and speaking but sometimes I like listening. (A1 BREAKTHROUGH; 2007; Somali; Pass)

You can bring some music . Maybe we can dance. (A1 BREAKTHROUGH; 2008; Polish; Pass)"
18;ADVERBS;position;A1;FORM;FORM: 'REALLY,'  MID POSITION ;Can use 'really' in the usual mid-position, between the subject and the main verb.;"I really love walking. (A1 BREAKTHROUGH; 2011; Polish; Pass)

I really like my kitchen, because it is big. (A1 BREAKTHROUGH; 2009; Somali; Pass)"
19;ADVERBS;position;A1;FORM;FORM: TIME, END POSITION;Can use time adverbs in the usual end position.;"Get well soon. (A1 BREAKTHROUGH; 2009; Nepali; Pass)

I hope to see you soon. (Pakistan; A1 BREAKTHROUGH; 2010; Urdu; Pass)

… because I not working also I will wake up late . (Pakistan; A1 BREAKTHROUGH; 2010; Urdu; Pass)"
20;ADVERBS;position;A1;FORM;FORM: PLACE, END POSITION;Can use place adverbs in the usual end position.;"I have many friends there. (A1 BREAKTHROUGH; 2007; Polish; Fail)

I like this place because my parents live there. (A1 BREAKTHROUGH; 2007; Czech; Fail)"
21;ADVERBS;adverb phrases - form;A1;FORM;FORM: 'VERY' + ADVERB;Can modify adverbs of time and degree with 'very'. ;"I hope you will be fine very soon. (A1 BREAKTHROUGH; 2009; Urdu; Pass)

I like my job very much. (A1 BREAKTHROUGH; 2007; Mandarin; Pass)"
22;CLAUSES;coordinated;A1;FORM;FORM: MAIN CLAUSE + MAIN CLAUSE;Can combine two main declarative clauses using co-ordinating conjunctions ('and', 'but', 'or'). ;"I like my college and I like my class. (A1 BREAKTHROUGH; 2007; Gujarati; Pass)

On Sunday I visit my friends, but I often stay at home and I read books. (Poland; A1 BREAKTHROUGH; 2010; Polish; Pass)

I like English lessons but I don't like physics. (A1 BREAKTHROUGH; 2007; Polish; Pass)

I watch television, I read magazines or I sleep. (A1 BREAKTHROUGH; 2007; Slovak; Pass)"
23;CLAUSES;coordinated;A1;FORM;FORM: CLAUSE + CLAUSE, ELLIPTED SUBJECT;Can omit the subject in a second main declarative clause when the subject is obvious or the same as the first clause. ;"She likes to listen to music and watch TV. (A1 BREAKTHROUGH; 2006; Urdu; Pass)

After break we go to the class and play some games or study. (A1 BREAKTHROUGH; 2007; Polish; Pass)

Sometimes I go to the park with my friend and play tennis and football. (Poland; A1 BREAKTHROUGH; 2010; Polish; Pass)

I can clean or cook for you. (A1 BREAKTHROUGH; 2009; Romanian; Pass)"
24;CLAUSES;declarative;A1;FORM;FORM: AFFIRMATIVE DECLARATIVE;Can form simple affirmative declarative clauses.;"I study English at college. (A1 BREAKTHROUGH; 2007; Mandarin; Pass)

My friend is a nurse. (A1 BREAKTHROUGH; 2006; Panjabi; Pass)

I'm living in Manchester. (A1 BREAKTHROUGH; 2009; Kurdish; Pass)

It's very cheap and you can buy all you need. (A1 BREAKTHROUGH; 2008; Italian; Fail)

He is very nice but sometimes he is a little crazy. (A1 BREAKTHROUGH; 2006; Italian; Pass)"
25;CLAUSES;declarative;A1;FORM;FORM: NEGATIVE DECLARATIVE WITH 'BE';Can form a simple negative declarative clause with lexical 'be' + 'not' or 'n't'. ;"My college is not very big. (A1 BREAKTHROUGH; 2007; Polish; Pass)

This place isn't big. (A1 BREAKTHROUGH; 2007; Lithuanian; Pass)

I'm not bad. (A1 BREAKTHROUGH; 2006; Panjabi; Pass)"
26;CLAUSES;declarative;A1;FORM;FORM: NEGATIVE DECLARATIVE, LEXICAL VERBS;Can form simple negative declarative clauses.;"I don't like maths. (A1 BREAKTHROUGH; 2007; Farsi; Pass)

I don't have children. (A1 BREAKTHROUGH; 2008; Polish; Pass)

I don't know. (A1 BREAKTHROUGH; 2009; French; Pass)"
